slug,statut,categorie,nb_mots_total,nb_sources,nb_fantomes_p1,nb_fantomes_p2
subvention-ars-planning-familial-gironde-2026,erreur,,0,0,0,0
regularisation-sans-papiers-espagne,erreur,,0,0,0,0
temperature-ressentie-indice-complexe,erreur,,0,0,0,0
danemark-priorite-services-essentiels,erreur,,0,0,0,0
sommeil-et-hypertension-symptomes,erreur,,0,0,0,0
premier-cas-ebola-france,a_corriger_manuellement,societe,886,5,1,0
mousses-champignons-symbiose-inattendue,erreur,,0,0,0,0
cern-modernise-accelerateur-particules-matiere-noire,erreur,,0,0,0,0
desensibilisation-sublinguale-allergies-respiratoires,erreur,,0,0,0,0
diagnostic-preimplantatoire-aneuploidies-france,erreur,,0,0,0,0
nasa-lance-mission-sauvetage-telescope-swift,rejet_sources,societe,0,0,0,0
cma-cgm-investit-mombasa,rejet_sources,societe,0,0,0,0
refuges-climatiques-espagne-canicules,erreur,,0,0,0,0
violences-enfants-france-insuffisante,moderation,societe,829,4,3,1
